"site_no","date","sscmgmL","portal","channel","station_nm","site_code","lat","lon","drainage_area_km2","elevation_m","dist2river_m","dist_downstream_km"
"USGS-02358000","1990-07-16","10","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-06-28","12","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1991-07-09","36","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1991-05-22","36","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1991-07-05","44","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1992-07-29","15","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1990-05-22","34","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1991-06-28","6","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1992-05-05","9","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-06-28","10","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1992-06-19","10","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-07-01","8","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-07-01","5","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1990-08-24","8","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1991-07-09","35","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1990-09-10","5","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1990-05-22","40","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1991-06-29","38","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1990-04-20","42","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1993-07-28","20","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1990-05-22","40","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1990-04-20","41","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1991-05-22","10","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1992-05-07","47","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1990-04-20","49","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1991-07-01","4","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1990-04-20","26","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1990-04-17","12","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-05-22","6","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1992-09-18","15","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1991-04-12","17","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1991-07-01","5","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1992-07-29","16","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1991-04-12","41","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1991-09-26","4","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-07-02","7","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-05-01","6","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1992-06-19","11","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1990-05-22","37","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1992-09-18","14","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1990-09-10","5","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1991-08-13","33","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1991-08-13","24","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1991-08-12","14","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1991-07-05","34","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1990-04-17","11","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1993-05-14","15","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1990-09-12","18","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1990-04-17","14","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1993-09-27","5","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-09-26","1","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1992-09-18","15","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1990-07-16","15","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-07-01","7","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1990-05-21","8","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-05-22","6","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-06-29","11","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1991-08-13","36","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1990-05-21","7","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1991-07-05","22","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1993-08-06","13","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1991-09-27","25","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1992-07-28","21","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-05-01","6","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1990-05-21","9","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1990-07-16","12","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1991-04-12","20","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1991-06-29","50","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1992-09-18","8","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-08-12","8","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1990-05-22","41","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1992-06-18","28","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1990-09-10","1","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1990-09-10","3","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1992-06-19","9","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1992-09-18","16","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1993-07-28","24","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1991-07-02","8","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1990-09-10","2","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-07-02","7","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1990-05-22","43","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1991-09-26","3","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1992-06-18","29","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1992-07-29","17","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1991-07-05","19","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1991-07-05","31","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1993-07-28","22","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1993-10-29","19","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1991-08-12","9","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1993-07-28","23","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1992-07-29","12","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1991-06-25","4","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1990-04-17","11","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1992-07-28","18","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1993-04-06","81","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1991-06-29","50","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1991-07-02","9","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1990-05-21","7","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1990-04-20","28","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1991-08-12","11","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1993-05-14","16","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1993-09-27","5","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1993-04-10","46","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1990-04-17","13","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1992-05-07","32","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1991-07-02","9","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-08-12","11","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-06-29","9","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-05-01","4","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1990-07-16","10","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1991-05-22","9","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02358000","1990-07-16","12","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1991-07-02","44","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02358000","1991-05-01","1","WQP","MAIN STEM","APALACHICOLA RIVER AT CHATTAHOOCHEE FLA","STREAM","30.70102510000000","-84.8590871000000","44547.7954801093","0","107.48466222664","538.975508374003"
"USGS-02359170","1991-04-12","20","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
"USGS-02359170","1990-04-20","26","WQP","MAIN STEM","APALACHICOLA RIVER NR SUMATRA,FLA.","STREAM","29.94937094000000","-85.0154686000000","49727.7716987267","0","99.8581269634038","675.85412442503"
